,R-HSA-162582,R-HSA-397014,R-HSA-73894,R-HSA-9748784,R-HSA-1500931,R-HSA-1430728,R-HSA-1266738,R-HSA-392499,R-HSA-4839726,R-HSA-1474244,R-HSA-5357801,R-HSA-168256,R-HSA-9609507,R-HSA-8953854,R-HSA-1474165,R-HSA-109582,R-HSA-69306,R-HSA-400253,R-HSA-8953897,R-HSA-9612973,R-HSA-74160,R-HSA-382551,R-HSA-1643685,R-HSA-9709957,R-HSA-1640170,R-HSA-112316,R-HSA-5653656,R-HSA-1852241
R-HSA-5683826,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-112315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R-HSA-9033241,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-71291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-425407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R-HSA-73884,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-5663205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R-HSA-5619115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R-HSA-202131,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-157118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-9754706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R-HSA-1566977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
